iter	Logloss
0	0.6913528933
1	0.6895839202
2	0.687995832
3	0.6865378999
4	0.6850806653
5	0.6837496709
6	0.682450674
7	0.6812430878
8	0.6801416749
9	0.6791329102
10	0.6779083183
11	0.6769597873
12	0.6760392827
13	0.6750527487
14	0.6742130732
15	0.6733178599
16	0.6724130298
17	0.6716333358
18	0.6709317299
19	0.6703297788
20	0.669708152
21	0.6691241115
22	0.6683071472
23	0.6677381034
24	0.6672211625
25	0.6666443396
26	0.6660501602
27	0.6654766136
28	0.6649984797
29	0.6643838414
30	0.6638576634
31	0.6632064938
32	0.6627032664
33	0.662320532
34	0.6619162703
35	0.661444679
36	0.661032918
37	0.6607445609
38	0.6601838941
39	0.6597336952
40	0.6592481385
41	0.6588921767
42	0.6583295492
43	0.6579838728
44	0.657645061
45	0.6572164462
46	0.6568531635
47	0.6564753985
48	0.6559198635
49	0.6555258082
50	0.655261387
51	0.6548950609
52	0.6546054956
53	0.6542994545
54	0.6539222204
55	0.6536536332
56	0.6533069969
57	0.6530247584
58	0.6526325553
59	0.6522523383
60	0.6519427923
61	0.6516461026
62	0.6513561914
63	0.6511103469
64	0.6507547071
65	0.6504438713
66	0.6501225898
67	0.6499031237
68	0.6497065822
69	0.6493542932
70	0.6491464877
71	0.6489108071
72	0.648725622
73	0.6484673772
74	0.6483521574
75	0.6481716596
76	0.6479295914
77	0.6475862753
78	0.6473180323
79	0.6469477498
80	0.6465822069
81	0.6462251145
82	0.646098636
83	0.6457374344
84	0.6455220865
85	0.6453046541
86	0.6451497462
87	0.6448565482
88	0.6446518148
89	0.6444021592
90	0.6442347414
91	0.6439847193
92	0.6436698923
93	0.6434111487
94	0.6431940181
95	0.6429969009
96	0.6427060399
97	0.642423225
98	0.6422762003
99	0.6419950988
100	0.6417242359
101	0.6415083596
102	0.6411862851
103	0.6408806129
104	0.640612328
105	0.6403325409
106	0.6401075247
107	0.639808406
108	0.6395813846
109	0.6392995917
110	0.6390437744
111	0.6388429988
112	0.6386466741
113	0.6384550697
114	0.6382352301
115	0.6381173958
116	0.637930067
117	0.637671963
118	0.6375171116
119	0.6372504968
120	0.6369500129
121	0.6367083227
122	0.636427172
123	0.6361764278
124	0.6359210471
125	0.6357503272
126	0.6355278643
127	0.635394705
128	0.6351450097
129	0.6349612155
130	0.6348262585
131	0.6346225522
132	0.6343200764
133	0.6341251584
134	0.6338478767
135	0.6336636624
136	0.6334665127
137	0.6333226393
138	0.6330795862
139	0.6328122948
140	0.6326875688
141	0.6325286106
142	0.6322886145
143	0.6320993077
144	0.6319023288
145	0.6317261775
146	0.631500163
147	0.6312175037
148	0.6310266393
149	0.6308917284
150	0.6306748642
151	0.6303960705
152	0.63016879
153	0.6299737549
154	0.6298148817
155	0.6296319072
156	0.6295322078
157	0.6293459603
158	0.6291319862
159	0.628984317
160	0.6287429096
161	0.6284574549
162	0.6281883804
163	0.6280461982
164	0.6277771179
165	0.6276035381
166	0.627370273
167	0.627115682
168	0.6269407037
169	0.62679621
170	0.6265514149
171	0.6263172423
172	0.6261411324
173	0.6257868787
174	0.625529833
175	0.6252830711
176	0.6250670953
177	0.6249134474
178	0.6246823792
179	0.6245612219
180	0.6242796117
181	0.6240303559
182	0.6237816012
183	0.6235974478
184	0.623394877
185	0.6232199624
186	0.6230572494
187	0.6228330743
188	0.6226966751
189	0.6224524962
190	0.6223037898
191	0.622137269
192	0.6219025077
193	0.6216804114
194	0.6215081718
195	0.62123349
196	0.6209580954
197	0.620861092
198	0.6206237802
199	0.6204349677
200	0.620218842
201	0.6200322076
202	0.6197834677
203	0.6196159553
204	0.6193790902
205	0.6190896724
206	0.6188264734
207	0.618694783
208	0.6184560008
209	0.6183153573
210	0.6180918453
211	0.6179558701
212	0.6178307395
213	0.6176280201
214	0.617513963
215	0.6173362744
216	0.6172438844
217	0.6169969301
218	0.6168403601
219	0.6167005232
220	0.6165840724
221	0.6163508465
222	0.6161963505
223	0.6160130372
224	0.6158647112
225	0.6156771586
226	0.6154229406
227	0.6151645013
228	0.6148859495
229	0.6146572762
230	0.6144705826
231	0.6143231419
232	0.6141438169
233	0.6140159072
234	0.613783464
235	0.6136235417
236	0.6134930021
237	0.6133604064
238	0.6131884174
239	0.6130429598
240	0.612757794
241	0.6126552941
242	0.6124991049
243	0.6123256828
244	0.6121027682
245	0.6119320557
246	0.6117219071
247	0.611533354
248	0.6112167103
249	0.610956329
250	0.6106691466
251	0.6105050859
252	0.6103843362
253	0.6102184459
254	0.609979848
255	0.6097788
256	0.6096428577
257	0.6095009859
258	0.6091865803
259	0.6089366769
260	0.6088175686
261	0.6085931518
262	0.6084105456
263	0.6082207712
264	0.6079470957
265	0.6077290063
266	0.6075377071
267	0.6074138892
268	0.6072488767
269	0.6070987027
270	0.6070136806
271	0.6068274111
272	0.606690744
273	0.6065764776
274	0.6064077664
275	0.6062529734
276	0.6060844097
277	0.6059105804
278	0.6057288318
279	0.6056080068
280	0.6054397006
281	0.6052565772
282	0.6050903034
283	0.6049664243
284	0.6048099946
285	0.604694903
286	0.6044991927
287	0.6043500895
288	0.6042433892
289	0.6040571051
290	0.6038364617
291	0.6037184789
292	0.6035823161
293	0.6033583282
294	0.603190729
295	0.6030009179
296	0.6028426751
297	0.6026938734
298	0.6024684419
299	0.6023620314
300	0.6021817348
301	0.6020031459
302	0.6018438834
303	0.601630842
304	0.6014442446
305	0.6012396232
306	0.6010537127
307	0.6008910368
308	0.6006655757
309	0.6004768291
310	0.6003222152
311	0.600086718
312	0.5998760436
313	0.5997505553
314	0.599601626
315	0.5993987448
316	0.5992891431
317	0.5991437881
318	0.5989978899
319	0.5987674091
320	0.5984881834
321	0.5983142956
322	0.5981926704
323	0.5980453877
324	0.5978508473
325	0.5977020182
326	0.5975805664
327	0.5973608508
328	0.5971657237
329	0.5969882868
330	0.5968576646
331	0.5966615794
332	0.596536876
333	0.5963366231
334	0.5961850555
335	0.5960275444
336	0.5957966217
337	0.595558893
338	0.5953816818
339	0.5951672575
340	0.5949910522
341	0.5947592572
342	0.5946303078
343	0.5944354592
344	0.5942031186
345	0.5940462848
346	0.5938639662
347	0.5936143158
348	0.5934691334
349	0.5932213726
350	0.5930541299
351	0.5929124119
