iter	Passed	Remaining
0	3	3555
1	6	3049
2	8	2900
3	11	2864
4	14	2841
5	16	2787
6	19	2790
7	22	2760
8	24	2751
9	27	2740
10	30	2746
11	33	2719
12	35	2711
13	38	2705
14	41	2695
15	43	2689
16	46	2674
17	48	2662
18	51	2655
19	54	2649
20	57	2670
21	60	2693
22	63	2697
23	66	2714
24	70	2738
25	73	2748
26	76	2744
27	79	2751
28	82	2748
29	96	3133
30	99	3112
31	102	3095
32	105	3085
33	108	3068
34	110	3057
35	113	3043
36	116	3036
37	119	3026
38	122	3020
39	125	3009
40	128	2998
41	131	2994
42	134	2982
43	136	2968
44	139	2960
45	142	2953
46	145	2944
47	147	2929
48	150	2916
49	153	2907
50	155	2895
51	158	2886
52	160	2876
53	163	2866
54	166	2858
55	169	2853
56	172	2847
57	174	2839
58	177	2836
59	180	2828
60	182	2816
61	185	2811
62	188	2807
63	191	2798
64	194	2794
65	196	2785
66	199	2778
67	202	2771
68	205	2768
69	207	2759
70	210	2753
71	212	2743
72	215	2735
73	218	2730
74	220	2723
75	223	2716
76	226	2710
77	228	2704
78	231	2699
79	234	2695
80	237	2692
81	240	2687
82	242	2681
83	245	2676
84	247	2668
85	250	2664
86	253	2656
87	255	2650
88	258	2646
89	261	2640
90	263	2634
91	266	2630
92	269	2626
93	272	2623
94	274	2616
95	277	2611
96	279	2606
97	282	2602
98	285	2597
99	288	2593
100	291	2591
101	293	2587
102	296	2582
103	299	2578
104	302	2574
105	304	2569
106	307	2564
107	309	2558
108	312	2555
109	315	2550
110	317	2546
111	320	2544
112	323	2542
113	326	2537
114	329	2532
115	331	2526
116	334	2524
117	337	2520
118	339	2516
119	342	2510
120	344	2505
121	347	2500
122	350	2497
123	353	2494
124	355	2490
125	358	2489
126	361	2487
127	364	2485
128	367	2480
129	370	2477
130	372	2473
131	375	2469
132	378	2466
133	380	2461
134	383	2457
135	386	2453
136	389	2450
137	391	2446
138	394	2442
139	396	2437
140	399	2433
141	401	2428
142	404	2424
143	407	2421
144	409	2417
145	412	2412
146	415	2410
147	418	2407
148	421	2405
149	423	2401
150	426	2398
151	429	2394
152	432	2392
153	435	2390
154	438	2388
155	441	2386
156	443	2382
157	446	2377
158	449	2374
159	451	2371
160	454	2367
161	457	2364
162	459	2360
163	462	2356
164	464	2353
165	467	2349
166	470	2346
167	473	2343
168	475	2340
169	478	2337
170	481	2334
171	484	2331
172	487	2328
173	490	2326
174	492	2323
175	495	2320
176	498	2317
177	501	2314
178	503	2310
179	506	2308
180	509	2304
181	511	2300
182	514	2296
183	517	2293
184	519	2290
185	522	2287
186	525	2284
187	528	2281
188	530	2277
189	533	2274
190	536	2271
191	539	2268
192	541	2264
193	544	2260
194	546	2256
195	549	2253
196	552	2250
197	554	2247
198	557	2244
199	560	2240
200	562	2237
201	565	2234
202	568	2230
203	570	2227
204	573	2224
205	576	2221
206	579	2218
207	581	2215
208	584	2212
209	587	2208
210	589	2205
211	592	2201
212	594	2197
213	597	2195
214	600	2192
215	603	2188
216	605	2185
217	608	2181
218	610	2177
219	613	2175
220	616	2172
221	619	2169
222	621	2166
223	624	2163
224	626	2159
225	629	2157
226	632	2154
227	635	2152
228	638	2151
229	641	2148
230	644	2146
231	647	2143
232	650	2141
233	653	2138
234	656	2137
235	659	2133
236	661	2130
237	664	2127
238	667	2124
239	669	2120
240	672	2117
241	674	2114
242	677	2110
243	680	2107
244	683	2104
245	685	2101
246	688	2098
247	691	2095
248	693	2092
249	696	2089
250	699	2087
251	701	2083
252	704	2080
253	707	2076
254	709	2073
255	712	2070
256	715	2067
257	717	2064
258	720	2062
259	723	2059
260	726	2055
261	728	2052
262	731	2050
263	734	2047
264	737	2045
265	740	2042
266	742	2039
267	745	2037
268	748	2034
269	751	2032
270	754	2029
271	757	2026
272	759	2023
273	762	2020
274	765	2017
275	768	2014
276	770	2011
277	773	2008
278	776	2005
279	778	2002
280	781	1999
281	784	1996
282	786	1992
283	789	1989
284	791	1986
285	794	1984
286	797	1981
287	800	1978
288	803	1976
289	805	1972
290	808	1969
291	811	1967
292	813	1963
293	816	1960
294	819	1958
295	822	1955
296	824	1951
297	827	1948
298	830	1946
299	832	1943
300	835	1940
301	838	1937
302	840	1934
303	843	1931
304	846	1929
305	849	1926
306	852	1924
307	854	1920
308	857	1917
309	860	1915
310	862	1911
311	865	1908
312	868	1906
313	871	1903
314	873	1899
315	876	1897
316	879	1894
317	882	1892
318	885	1889
319	887	1886
320	890	1883
321	893	1880
322	895	1877
323	898	1875
324	901	1872
325	904	1869
326	906	1866
327	909	1863
328	912	1861
329	915	1858
330	918	1855
331	920	1852
332	923	1850
333	926	1847
334	929	1844
335	931	1841
336	934	1838
337	937	1836
338	940	1834
339	943	1831
340	946	1828
341	949	1825
342	951	1822
343	954	1819
344	957	1817
345	960	1815
346	963	1812
347	965	1809
348	968	1806
349	971	1804
